Title,Year,Duration,MostLiked,Description,Director,FullCast,GenreFull,AboutFull,Age
That Thing Called Tadhana,2015.0,91,0.0,"A devastating breakup with her boyfriend may be the start of a new beginning for Mace, thanks to an adventurous and kind stranger named Anthony.",['Antoinette Jadaone'],"['Angelica Panganiban,', 'JM de Guzman,', 'Joem Bascon']","['Filipino,', 'Dramas,', 'Romantic Movies']","['Swoonworthy,', 'Intimate,', 'Romantic']",16
Theeya Velai Seyyanum Kumaru,2013.0,131,0.0,"When shy Kumar gets stuck on the losing end of a love triangle, the Love Doctor, Mokia, has a strategy for Kumar to win the love of his life.",['Sundar C.'],"['Siddarth,', 'Santhanam,', 'Hansika Motwani,', 'Ganesh Venkatraman,', 'RJ Balaji,', 'Bosskey,', 'Manobala,', 'Chitra Lakshmanan']","['Romantic Comedies,', 'Indian,', 'Tamil-Language Movies,', 'Comedies,', 'Romantic Movies']","['Charming,', 'Goofy,', 'Romantic']",13
This Little Love of Mine,2021.0,91,0.0,A workaholic lawyer returns to her island home to convince an old friend to take over his family’s company — but rekindled feelings soon get in the way.,['Christine Luby'],"['Saskia Hampele,', 'Liam McIntyre,', 'Lynn Gilmartin,', 'Craig Horner']","['Australian,', 'Romantic Movies']","['Charming,', 'Romantic']",0
Through My Window,2022.0,113,0.0,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.",['Marçal Forés'],"['Clara Galle,', 'Julio Peña Fernández,', 'Guillermo Lasheras,', 'Natalia Azahara,', 'Hugo Arbués,', 'Eric Masip,', 'Emilia Lazo,', 'Abel Folk,', 'Rachel Lascar,', 'Pilar Castro']","['Spanish,', 'Teen Movies,', 'Movies Based on Books,', 'Romantic Movies']","['Intimate,', 'Emotional,', 'Romantic']",16
Time to Dance,2020.0,107,0.0,"When a ballroom dancer’s shot at a crucial tournament is jeopardized, a street dancer must face his own painful past and step up as her new partner.","[""Stanley Menino D'Costa""]","['Sooraj Pancholi,', 'Isabelle Kaif,', 'Rajpal Yadav,', ""Waluscha D'Souza,"", 'Natasha Powell,', 'Martin Rycroft,', 'Amy Maghera,', 'Saqib Saleem']","['Indian,', 'Hindi-Language Movies,', 'Bollywood Movies,', 'Dramas,', 'Romantic Movies']","['Sentimental,', 'Romantic']",7
To All The Boys: Always And Forever,2021.0,116,0.0,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans — with and without Peter.,['Michael Fimognari'],"['Lana Condor,', 'Noah Centineo,', 'Janel Parrish,', 'Anna Cathcart,', 'Ross Butler,', 'Madeleine Arthur,', 'Emilija Baranac,', 'Trezzo Mahoro,', 'Sarayu Blue,', 'John Corbett,', 'Kelcey Mawema,', ""Sofia Black-D'Elia,"", 'Henry Thomas']","['Romantic Comedies,', 'Teen Movies,', 'Movies Based on Books,', 'Comedies,', 'Romantic Movies']","['Charming,', 'Feel-Good,', 'Romantic']",13
To All the Boys: P.S. I Still Love You,2020.0,102,0.0,"Lara Jean is officially Peter’s girlfriend, so everything should be perfect, right? But feelings grow complicated when an old crush reenters her life.",['Michael Fimognari'],"['Lana Condor,', 'Noah Centineo,', 'Jordan Fisher,', 'Anna Cathcart,', 'Janel Parrish,', 'Ross Butler,', 'Madeleine Arthur,', 'Emilija Baranac,', 'Trezzo Mahoro,', 'Holland Taylor,', 'Sarayu Blue,', 'John Corbett']","['Romantic Comedies,', 'Teen Movies,', 'Movies Based on Books,', 'Comedies,', 'Romantic Movies']","['Swoonworthy,', 'Charming,', 'Feel-Good']",13
Too Handsome to Handle,2019.0,106,0.0,"Wary of the effects of his good looks on others, a shut-in agrees to attend high school for the first time and meets a girl who's immune to his charm.",['Sabrina Rochelle Kalangie'],"['Ari Irham,', 'Nikita Willy,', 'Calvin Jeremy,', 'Rachel Amanda,', 'Dimas Dinang,', 'Tarra Budiman,', 'Marcellino Lafrand,', 'Iis Dahlia']","['Indonesian,', 'Romantic Comedies,', 'Teen Movies,', 'Comedies,', 'Dramas']","['Charming,', 'Goofy,', 'Romantic']",13
Toscana,2022.0,90,0.0,"When a Danish chef travels to Tuscany to sell his father's business, he meets a local woman who inspires him to rethink his approach to life and love.",['Mehdi Avaz'],"['Anders Matthesen,', ""Cristiana Dell'Anna,"", 'Andrea Bosca,', 'Ghita Nørby,', 'Sebastian Jessen,', 'Ari Alexander,', 'Christopher Nissen,', 'Karoline Brygmann,', 'Lærke Winther,', 'Christoffer Jindyl,', 'Thue Ersted Rasmussen']","['Danish,', 'Dramas,', 'Romantic Movies']","['Charming,', 'Inspiring,', 'Feel-Good']",13
Tuesdays & Fridays,2021.0,105,0.0,"To avoid the burden of commitment, a young lawyer and a writer agree to be romantic partners only two days a week. That won’t get complicated — right?",['Taranveer Singh'],"['Anmol Thakeria Dhillon,', 'Jhataleka,', 'Niki Walia,', 'Kamini Khanna,', 'Zoa Morani,', 'Nayan Shukla,', 'Eklavyey Kashyap,', 'Reem Shaikh']","['Romantic Comedies,', 'Indian,', 'Hindi-Language Movies,', 'Bollywood Movies,', 'Comedies']","['Sentimental,', 'Romantic']",13
